text,label
[Web발신]박춘규회원님손절주식은그만월급배만드는법http://lco.jp/eA,spam
[Web발신]골든브릿지에서손실을보셨나요??http://bitly.kr/bRGtq[FW],spam
[Web발신][대//박]가(.원)입코(WN)드MEP.com,spam
[Web발신](광고)이정미님아직도주식하시나요http://pf.kakao.com/_uHxlgj/,spam
[Web발신]송승용님사람이모이는곳에는이유가있습니다하루~정보공개is.gd/JsJP,spam
MMS스팸신고사진사진,ham
[Web발신]회원님예치금원보유중보관기간끝납니다해저.한국<<안심다운로드코드,spam
[Web발신][삼성증권]:****-출금****-박용출님,ham
날씨가더워지기시작하고지치기쉬운계절입니다~건강조심하시고매일매일행복하셨으면좋겠습니다~^^ㅡ신용대출담당자-,ham
(광고)pf.kakao.com/_uHxlgj/김영일님아직도손실보신가요무료거부,spam
MMS스팸신고사모님삼송역스칸센최정애실장입니다시간되실때연락주세요^^오늘도행복한하루되세요^^사모님삼송역스칸센,ham
[Web발신]이채원님판다에서도전하세요!안전한하게연결합니다.http://nazr.in/Xp,spam
[Web발신]노브라유흥다이소선정릉모바일앱http://bIt.Ly/XsJWNR무료거부,spam
(광고)SHOWWindow!고화질LIVECAM초이쓰bit.ly/RRahPv무료거부,spam
(광고)cb엘c케bc이c에bc스c무료거부,spam
[Web발신](광고)자산관리재테크비결은!?밴드에서확인http://band-uss.co.kr/무료거부,spam
MMS스팸신고전주김해운입니다거제의월은바람도좋습니다이달도내내좋은일가득하시고건강하세요전주김해운입니다거제의,ham
(광고)투어팜.일본시원한나스이오노cc박일.만원홀.불포:차량.무료거부..,ham
[Web발신](광고)박정수님보유현금안내!마지막으로설명드릴게요ㅋ턱dc무료거부,spam
[Web발신]♡미소친구소개♡친구소개해주시면최대만원드립니다.이름/번호답장주세요.전화X,ham
[Web발신]전영민님명돌파기념!최상의저쭝율%슈익율https://is.gd/ateEsO초대합니다!,spam
[Web발신](광고)스파클링유흥다이소선정릉모바일앱http://bIt.Ly/NwGYDw무료거부--,spam
Позвониеслинеспишь),ham
Язавтраузнаюпромашинузабыласегодня????♀????,ham
MMS스팸신고[Web발신]단기/스윙종목명_시노펙스매수가_원이하+%이상수익권에서자율수익청산(체험회원)※매수완료시담당자께매수알림부탁드립니다!!※▶소비자만족지수위수상+플러스투자그,spam
[Web발신]삼천까지도와드립니다.시간안전하고빠르게--,spam
[Web발신](광고)플라워(구)홀인원.NF출근.후회없는주말책임져드립니다무료거부인증,ham
[Web발신]막줌다줌더줌순발력파워커짐쎄짐세어나는호soohttp://rdj.bhl.kr,spam
[Web발신]로툿쓰앰찌엠빠워볼바까라%정답후불결재까까오톡:[FW],spam
[Web발신]구자현님아직모르고계셨나요?참여만해도월천만원잔고쌓기비법▼http://na.to/eY,spam
(광고)★미래타운차신흥동번지★갭투자천가능(아파트등기)☆R무료거부,spam
[Web발신]회원님예치금원보유중보관기간이끝납니다쿠아리움.com<<다운로드코드,spam
[Web발신](광고)김우영님선착순명삼계탕비지원서두르세요㉸㉸오ID:무료거부,spam
[Web발신]어머님안녕하세요국/영/수/사/과과외팀장입니다항상행복하시고건강하십시오감사드립니다,ham
[Web발신]유재성님지금이라도늦지않았습니다.월긴급정보http://pf.kakao.com/_YnWTT/Friend,spam
[Web발신]스포츠실시간로튜스안내드립니다정직하게보답합니다.코드SGBit.ly/LLXBIC,spam
[Web발신]손순평님과함께하는씩벌어가기확인http://pf.kakao.com/_raxexbT/friend,spam
MMS스팸신고겜블시티안실장입니다.카톡아이디가gold로변경되었습니다.최신주소및문의는변경된카톡으로부탁드립니다.(사칭주의)null,spam
"이상투자사과나무님""이재훈""투자컨설담당자배정완료.담당자확인▼http://bitly.kr/PBVRQ",spam
[Web발신]반갑습니다원하는일이이루어져http://r.osq.kr,spam
[Web발신]~예스.(카)김과장입니다.현제오시면추가만드립니다.XRP.com,spam
[Web발신]허상숙님복권.등평생놀고먹을수잇는돈을마련한남자될수있었던이유hoy.kr/HQv,spam
정재곤님단한번뿐인기회%수익정보더이상손해보지마세요pf.kakao.com/_aTxhxbT/friend,spam
"[Web발신](광고)https://pf.kakao.com/_zjtvj/friend유흥수님""문의""상담가능무료거부",spam
김경훈님소개팅문의女사진공개이쁜데귀엽기까지궁금하면들어와~문의hoy.kr/qjAo,spam
누적되어있는'낙'촘'금보관중L,spam
[Web발신].원소진아ilsabⓢcotcⓗ.net,spam
