,SO2,CO,O3,NO2,PM10,PM25,time,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위),중하층운량(10분위),최저운고(100m ),시정(10m),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C),운형(운형약어)_AcCc,운형(운형약어)_AcCcCi,운형(운형약어)_AcCi,운형(운형약어)_AcCs,운형(운형약어)_As,운형(운형약어)_CbCu,운형(운형약어)_CbSc,운형(운형약어)_CbScAs,운형(운형약어)_CbScCs,운형(운형약어)_CbScNs,운형(운형약어)_CbStNs,운형(운형약어)_Cc,운형(운형약어)_CcCi,운형(운형약어)_Ci,운형(운형약어)_Cs,운형(운형약어)_CsCi,운형(운형약어)_Cu,운형(운형약어)_CuAc,운형(운형약어)_CuAcCc,운형(운형약어)_CuAs,운형(운형약어)_CuCcCi,운형(운형약어)_CuCi,운형(운형약어)_CuSc,운형(운형약어)_CuScAc,운형(운형약어)_CuScAcCi,운형(운형약어)_CuScAs,운형(운형약어)_CuScCc,운형(운형약어)_CuScCcCi,운형(운형약어)_CuScCi,운형(운형약어)_CuScCs,운형(운형약어)_CuScNs,운형(운형약어)_NoCloud,운형(운형약어)_Sc,운형(운형약어)_ScAc,운형(운형약어)_ScAcCi,운형(운형약어)_ScAcCs,운형(운형약어)_ScAs,운형(운형약어)_ScAsCi,운형(운형약어)_ScCc,운형(운형약어)_ScCcCi,운형(운형약어)_ScCi,운형(운형약어)_ScCs,운형(운형약어)_St,운형(운형약어)_StAs,운형(운형약어)_StAsCi,운형(운형약어)_StNs
0,0.002,0.6,0.018,0.02,25.0,14.0,2021-01-01 01:00:00,-8.7,0.0,2.4,270.0,68,2.2,-13.5,1016.4,1027.7,0.0,0.0,0.0,0.0,0,200.0,2000,0.0,-6.9,-1.0,-0.8,0.3,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.002,0.6,0.013,0.025,27.0,16.0,2021-01-01 02:00:00,-9.1,0.0,1.6,270.0,69,2.1,-13.7,1016.2,1027.5,0.0,0.0,0.0,0.0,0,200.0,2000,0.0,-7.1,-1.1,-0.8,0.3,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.003,0.6,0.011,0.027,23.0,13.0,2021-01-01 03:00:00,-9.3,0.0,1.1,250.0,70,2.1,-13.7,1016.8,1028.1,0.0,0.0,0.0,0.0,0,200.0,2000,0.0,-7.3,-1.2,-0.9,0.3,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.003,0.6,0.008,0.032,24.0,14.0,2021-01-01 04:00:00,-9.3,0.0,0.3,0.0,71,2.2,-13.5,1016.2,1027.5,0.0,0.0,0.0,0.0,0,200.0,2000,0.0,-7.5,-1.3,-1.0,0.2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.002,0.7,0.003,0.037,26.0,16.0,2021-01-01 05:00:00,-9.7,0.0,1.9,20.0,72,2.1,-13.8,1015.6,1026.9,0.0,0.0,0.0,0.0,0,200.0,2000,0.0,-7.6,-1.3,-1.0,0.2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.003,0.7,0.002,0.039,27.0,18.0,2021-01-01 06:00:00,-9.7,0.0,2.0,50.0,75,2.2,-13.3,1015.4,1026.7,0.0,0.0,0.0,7.0,7,12.0,2000,0.0,-7.4,-1.4,-1.1,0.2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.003,0.8,0.002,0.041,30.0,18.0,2021-01-01 07:00:00,-9.3,0.0,1.6,50.0,71,2.2,-13.5,1015.6,1026.9,0.0,0.0,0.0,6.0,6,16.0,2000,0.0,-6.8,-1.4,-1.1,0.2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.003,0.8,0.004,0.04,33.0,19.0,2021-01-01 08:00:00,-9.3,0.0,1.6,50.0,72,2.2,-13.4,1015.8,1027.1,0.0,0.0,0.0,1.0,1,18.0,2000,0.0,-7.3,-1.4,-1.1,0.1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.004,0.9,0.007,0.039,35.0,19.0,2021-01-01 09:00:00,-8.6,0.0,2.5,20.0,74,2.4,-12.4,1016.1,1027.4,0.6,0.27,0.0,1.0,1,18.0,2000,0.0,-6.2,-1.4,-1.2,0.1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.004,0.8,0.01,0.036,44.0,27.0,2021-01-01 10:00:00,-6.1,0.0,1.1,50.0,68,2.6,-11.0,1016.4,1027.6,1.0,0.76,0.0,1.0,1,10.0,2000,0.0,-3.4,-1.2,-1.1,0.1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
